delta,trans_satoshis
77,26.0628008407
98,46.8561977771
57,35.9116875843
56,25.443416265
97,12.5227444705
83,42.1231771539
64,19.8807838117
93,50.1211297669
68,12.4485303763
96,56.1699714413
74,26.6306475906
50,59.2385625509
65,31.189971345
76,40.1276386168
79,47.2666485873
61,64.2560354582
99,31.6890725606
90,14.6326013304
54,34.9984415212
58,58.8465499037
80,52.8593020712
73,36.8236532636
78,12.2104783908
72,63.5713161172
61,20.6957953944
74,13.7917470515
70,40.0249368314
67,41.1395214442
97,64.8368869993
84,11.4837639646
71,49.9551727135
61,20.8217924843
50,16.8003358371
59,44.2525620936
57,13.279739752
96,55.868957601
76,59.7684130209
88,46.2351982854
91,56.9790224975
65,51.7107161276
62,19.4069943286
58,52.9151164632
94,51.5879476304
88,44.4593785155
88,62.6698672737
85,40.8043195217
93,15.2520557539
57,50.2256251205
87,44.3738125656
98,31.5120837295
54,42.7054545261
61,24.189807466
59,62.826330722
94,39.1661345441
76,19.5907196651
73,44.7452727376
81,47.7905074704
76,48.8590474786
83,50.6797079739
68,36.0712788409
65,62.2230267476
78,47.2969084817
99,28.2148250916
50,41.0556410352
99,32.4637079161
56,56.7390677002
57,12.8581717384
77,18.1862203114
81,37.0344831373
80,35.4906302712
59,38.6516103421
53,23.2645209251
55,28.887226202
83,47.8417570828
87,22.8752269713
69,21.380827394
54,41.5484566782
85,64.2912161445
90,43.1519575472
77,60.9986728241
92,47.6651250439
93,46.0728042873
90,40.0526294114
60,51.9153004204
99,17.7360845324
65,27.753786527
88,58.7445739052
87,38.8623594154
86,21.8891457337
61,29.0603834595
57,21.4964741714
67,55.6591127383
99,36.3615101345
81,21.3236030248
96,15.3175793041
74,50.6955202059
87,33.4137851336
68,17.4114899452
99,22.8732949875
79,27.5172225302
81,44.0308790727
81,51.9540060916
95,41.6001596241
69,42.8606470238
68,42.0295916034
89,40.0637277963
89,56.9741053757
88,12.4297434323
69,55.7052777409
51,24.8791079989
61,23.8179290046
79,39.3153341853
58,16.9762204883
53,62.8106628925
72,61.4875974196
57,19.6672384872
87,51.7601605776
65,56.884156363
54,47.7870983332
58,60.5665887182
83,20.4953390079
73,11.3564802931
96,32.3155919076
50,53.1162746485
70,49.6079098052
76,61.6659707674
51,14.6727856604
52,44.1881249484
94,58.0233022531
52,62.826681489
81,34.9787848111
92,44.6614274194
87,26.7746409254
59,45.7401554934
81,28.0645672184
95,52.707002375
51,41.8004672716
75,32.6095462704
54,32.872946983
51,57.9716330176
72,40.7125057117
68,24.8161923375
77,30.9160675403
82,29.6370287355
84,16.0642606326
93,49.6221282922
57,14.9831922051
69,29.6188216111
77,56.326201871
82,14.6701277261
16,93.84850189781413
14,27.6387542101
15,93.87909457227242
12,49.4020156295
13,92.60198565475795
13,36.7823647808
19,90.93829455644683
12,34.0774820551
18,90.65587504294872
17,38.0627631694
13,91.16194514640453
18,31.9084898254
10,94.86488634292327
19,48.2767005207
16,93.04718024742826
17,44.4922772548
18,92.60128503657644
10,10.5784831029
10,90.57009749508876
12,27.5378582027
15,90.1976130825975
15,57.9149163641
10,93.02724001275557
19,61.6786898254
10,93.92295910367129
12,17.5781892688
13,92.63965951637114
10,27.5803729594
18,94.90330305746974
12,23.9393542984
14,93.03849561071992
11,25.1848939491
12,93.798801633512
11,47.7666936113
10,90.30417307494073
17,28.0251119596
12,94.31931439045701
18,25.6609430398
17,90.00518552985523
17,63.0248426364
18,93.81669092678962
17,10.6863193226
15,90.75205309860452
10,55.1082828125
11,93.87572500414963
15,40.0688715606
15,91.82577078771787
17,11.7693204421
12,93.38237203296741
12,52.810633742
17,93.60876013636397
15,53.1424354151
19,92.96260284609323
14,59.9400759438
18,91.29982018902643
10,62.1587100853
11,92.5003956636582
10,55.0272265452
13,90.52696817576597
13,22.2635493256
15,92.46248314988222
18,42.3646271159
11,90.36686883391313
15,63.5924346103
13,90.97203844988573
19,36.4591488592
12,92.54623643149642
14,25.6476670111
17,90.20366253887788
15,39.3752905203
15,92.21510866054173
19,60.5000735446
13,94.26654561342016
11,21.7726890734
11,92.63953638285466
13,37.3238163817
19,93.67695260556876
13,41.2025597922
14,94.10064527443788
11,11.2002040943
64,10.7008763575
86,66.9502358959
56,37.9446406124
71,16.9452263856
71,51.6630037282
55,45.5128866259
61,13.7032851586
57,21.1648350947
68,40.8308688583
52,24.9835764653
66,40.8615031915
98,68.0017305091
67,42.0498482347
61,36.8468429702
70,38.0929281603
65,26.1031769522
54,21.656250367
50,10.1180094175
90,62.2373475375
93,20.8827735845
54,11.6846876239
99,34.381963995
50,16.2205102504
97,34.948080087
59,19.2469221769
69,37.4969964086
96,49.1113255572
85,59.0500488693
76,44.0285121033
97,15.0740581757
74,18.9808038435
93,59.1660423274
76,43.1244953586
91,37.7573943247
80,20.910282226
74,39.767305539
50,27.1022296662
59,37.3432562975
79,32.9246534728
56,16.9815577988
73,22.941181156
99,64.1518588872
96,45.5806798328
63,12.1311244716
80,33.7623013708
88,24.2844083625
96,45.6893325064
98,39.4508866763
94,50.64358848
81,66.1097918735
88,28.0528858665
89,62.7852060592
79,61.4804560552
67,17.4408759371
87,50.2019255916
76,23.550355939
78,16.0801250578
84,49.5835180222
80,20.6340680974
58,28.5736977561
53,68.0994230866
64,66.0075959948
56,18.3319223024
83,23.25683648
88,32.0547257841
94,31.6929792646
82,50.3999030732
72,69.8619919963
93,22.9333017511
99,44.3879478703
65,33.052738502
83,13.4516005426
64,56.0283409008
63,34.2031166083
57,46.073282508
89,37.1642190765
65,21.9765813192
73,23.5359332981
69,69.9769725884
66,62.8670876201
68,58.6779654484
77,28.4791271765
62,65.9631096229
83,54.5095879624
72,32.7125883023
92,68.8975509378
59,50.201088417
83,64.2601579684
86,25.615110585
61,50.4690388111
67,36.7185969457
89,10.1818128122
95,29.8478897393
69,39.9248366374
50,37.3181171951
85,64.365152349
72,66.4747554958
50,46.6633672216
93,61.3762406404
50,62.0540504264
82,37.2700159801
58,19.7337174916
72,68.1386532173
80,29.0114820894
88,10.6571161715
77,25.8653637399
52,36.9716208267
97,24.5465126786
54,60.5968453761
64,15.3052258596
52,19.1514773679
96,54.4745357683
64,69.8211916979
93,48.8495240328
64,61.9263065964
58,35.4996994565
59,54.4709290238
60,39.3846217972
70,54.7198174167
76,47.4423557154
97,31.1675698017
75,34.2253026662
89,10.4567370318
54,68.794194372
66,34.0339557445
94,34.5172534723
81,34.3441657795
59,30.589436544
92,11.9878129142
66,34.8211856332
58,15.6434993493
53,16.6387651811
