delta,trans_satoshis
16,80.8428532145
18,85.6323366968
16,88.6072519912
18,89.2880468675
16,89.2304716202
10,81.5845639068
12,83.2120523885
11,80.0617651862
15,85.6520550902
17,81.9239157996
12,89.8492398938
12,87.2309265596
14,85.4667709437
17,84.3068002979
18,88.8816762924
17,86.4960974111
18,81.8782606557
13,88.22492015
12,87.1143017462
15,80.8798113796
19,84.1521304113
14,83.6313305554
17,80.5196529422
10,81.8525705509
16,84.8800266411
17,83.3985745694
12,80.7613788011
13,88.8138204451
13,82.8851853569
10,82.9154991241
12,85.7600907867
14,84.2190880198
11,86.9664212345
15,89.3394928258
12,88.7242305939
10,84.6665123451
18,82.6934445834
11,88.5314640608
12,84.3556967511
17,87.7916747457
10,81.6007655113
11,89.5009177947
15,61.26764611127453
12,84.4677565599
10,80.47843822573992
10,86.6006470008
18,86.7797627271
15,82.1306960319
12,84.7632518126
11,81.0808301599
17,80.7022977431
10,87.6049339083
14,86.6706824639
17,84.1731769369
19,86.3181027358
18,80.4878848693
16,88.3785014321
19,84.7709596462
14,83.8131011388
12,80.210165652
15,89.5854887227
13,82.7279433588
18,87.5315808252
10,86.8303633525
11,88.2187451857
14,83.0197906545
19,82.6028844145
10,81.7287131853
12,82.2968982012
14,87.167179919
13,84.0973965677
14,86.8401116084
11,86.4177408834
17,87.3768736829
13,88.3001872778
11,85.0316771119
15,85.7453258415
12,86.5200404402
15,87.5035241347
12,81.2603337505
15,85.0044094762
18,86.6110006178
17,89.2944974101
11,81.9749848392
12,86.8174535686
18,87.0027300308
19,82.7239853882
13,88.3385910221
12,84.3455736344
14,81.8999710322
18,86.7145468766
16,89.0671892046
16,81.8285162463
13,85.7320204513
19,88.3100976852
11,85.5810632612
15,89.4525140725
12,85.4730513453
11,80.7616958109
13,83.0272600615
19,85.6198403935
18,84.3918864329
12,86.3761468179
17,89.2339958708
10,84.1069532293
12,63.776489746160074
11,81.1736311971
19,85.2394234113
14,84.6727300774
19,83.149470313
19,71.54841618178938
17,86.1691013759
12,84.4090358451
14,69.54895922254184
11,83.3304152762
18,83.3441890178
11,84.9262621723
19,85.3256550883
14,86.8642827802
12,88.4698848476
17,86.5095025671
12,84.3168891593
16,87.6115791527
13,80.5255089749
17,84.0701575727
10,83.6404131872
17,83.9565872086
10,85.3471642793
15,81.9280262102
16,83.5972945014
10,88.7984006901
16,87.5778457776
18,87.9381456878
14,87.5640462079
17,81.296823309
11,83.5796916103
18,85.7492926787
14,85.8839969816
10,88.5696368716
14,89.6544055388
10,83.572182123
17,89.3014825374
12,83.2580648582
11,75.7024335885298
15,82.1800446559
17,82.0534475844
12,88.4306126389
19,82.6824835286
14,82.3108938497
15,81.27342541209018
11,88.0129190208
11,85.1647077755
15,51.292734650459096
19,80.4631946244
12,85.6561450225
18,89.3849835172
16,87.8469112517
12,80.6784929435
15,86.091855622
13,80.7573865239
10,85.7456092735
14,85.8241864164
16,84.545362028
16,87.4032022747
17,88.3504079703
18,84.3852494833
18,88.3448194775
10,85.9120698232
12,80.6909829377
10,83.1385634164
13,80.9334052467
15,81.2107186376
15,88.7617501922
14,85.6403049628
12,80.23784923
19,89.5166598111
11,80.9578445485
17,82.5941028473
15,84.3609879894
18,84.1427657353
13,80.7955553853
11,84.2902658095
14,89.2292848228
18,85.391080412
10,85.222460524
12,88.4974910966
10,87.2194235651
12,83.8974761895
18,89.4762897601
19,85.6757556147
15,82.2883558184
13,85.4112294455
14,82.5481833021
12,84.3763043033
11,81.349017416
17,86.6552157847
11,85.5457816207
10,88.7771216176
19,85.7007197801
12,81.6613262766
11,81.6277851726
16,88.5311917023
12,89.4675385748
19,87.9026538088
13,85.2573851912
14,80.9600717102
18,89.4483767302
17,83.9627526827
18,80.447622025
13,88.1012394866
17,88.6358934492
13,80.4385264624
12,83.7429365838
11,89.4448893088
11,80.8823447647
12,80.1123686868
19,85.3068480405
14,82.9057469843
15,84.7314926872
10,89.589955614
19,85.249741687
18,83.2234085452
18,84.1006861811
11,82.99487255
15,82.1922318721
17,80.0539808869
11,87.9561149
18,89.2296345581
13,81.9110635429
19,84.2937931616
15,84.3472090433
18,88.1807736886
17,85.1717212482
18,81.5479456579
16,87.2102576191
18,88.9377108445
14,88.8662910654
12,87.2579301907
12,83.0689922256
17,84.4642913712
18,80.8185544912
10,88.4145260528
18,80.3136139954
12,82.5138386056
18,84.4878058586
16,88.5918091395
16,83.0325818524
10,88.3438126037
12,81.0442012837
19,83.4891862269
16,87.1641119907
15,81.6010653633
13,84.3583458173
10,86.6698876827
19,81.2643180489
19,82.7776991428
15,81.8155554941
14,85.1567271012
13,87.2352234413
14,85.969572351
12,85.846224263
17,83.7908567794
16,89.8809639671
13,82.9267448896
13,85.792884955
14,82.8752860009
13,80.4591720925
17,83.4764227131
15,81.29170353000805
14,89.9479123158
13,87.7545717332
19,84.3548368441
11,85.8007903945
12,87.1897648978
19,81.0473457282
17,85.4037355203
17,87.8760853445
13,87.6180015777
13,84.021245224
15,82.0780067802
17,85.9484413338
18,85.3806577416
15,82.0493584561
15,80.372009511
11,84.8050957174
17,80.4371682146
16,89.0039789238
17,83.0367792985
19,80.417408092
10,84.6640344165
14,81.5777173001
12,81.2389750629
15,65.65745861478555
10,87.7657113007
12,81.462532054
11,85.7768737911
12,89.255590239
10,63.781505860839076
13,88.3553088007
15,89.8752692225
14,42.57990312243455
10,84.221400717
14,89.7489842499
18,84.8577540019
10,89.1565880314
13,87.4762880082
16,81.7406377217
14,84.9425838751
14,89.3980457911
15,81.9465125081
18,82.7430138309
17,86.6911244138
15,87.3559352909
17,88.8491288268
14,84.0937397462
10,86.5664133803
18,88.7974571872
16,87.3179139383
15,81.3356021325
13,84.2730249236
12,87.4708310529
13,69.31131536305816
14,82.3925898901
14,35.17941340735865
18,87.2465038959
13,88.7619500603
19,86.6877209762
10,69.22431191009727
11,83.1926256478
11,86.5560091589
10,82.827241789
13,84.4223532265
19,86.4090179888
19,86.3418251683
13,89.4516468694
17,83.667006053
16,88.8547098555
15,89.170317008
16,81.1206954384
13,80.4545558917
14,85.8388045178
17,80.2403524592
17,89.1467247413
17,45.364007749758
12,82.681236162
11,89.86259846
17,82.6310391202
12,80.8098657621
17,81.2551186667
14,84.8743695822
10,89.0409170369
19,87.2985379902
17,81.155868666
15,55.765952038705706
12,89.7808265765
12,81.3405188273
11,81.7115792494
10,85.5483731951
10,86.6889857182
17,80.9394080024
12,88.6075284321
14,87.4454987799
12,82.2774162243
15,84.1944914521
12,81.301993687
11,82.7941655354
17,84.9151581481
13,82.8176643873
13,89.1060779623
12,87.2493475049
18,83.6534054992
13,82.5946178708
10,89.8257938701
18,89.6890818377
18,81.6753672515
14,82.0988823415
15,89.6199440914
13,83.86362325
19,88.0991524596
19,81.6567969696
13,82.2869873673
10,85.3916795972
10,86.5569405918
16,47.520458118688374
15,85.3252634342
12,86.8172877365518
18,83.0934391553
15,81.0136324564
13,82.8914559936
16,83.3907385681
18,87.471223653
13,81.6513418017
16,80.3416804407
18,85.0998708878
13,81.3241079742
16,89.2757338314
14,83.1919907364
13,87.3874463253
13,83.0004974595
12,82.3845441922
10,87.9832082289
12,87.741699121
16,89.0530681465
14,80.9342251404
19,83.3773237651
14,88.7207939225
15,80.4570127052
18,87.0971132505
10,84.0343803621
13,89.1138459338
19,80.9068087448
17,86.5713155102
17,85.0925249672
17,89.8893517917
15,85.6967452863
14,80.3773147229
11,83.360672444
11,85.8505355232
10,88.1159180088
10,83.9022169619
14,84.6585298508
18,80.6529188518
17,89.8391381119
18,89.9510341024
10,85.5777350644
15,87.3508891774
17,89.2402843614
11,83.2280350812
18,80.7143901969
16,86.5801225026
17,82.6348294438
18,88.3094389325
18,88.2424423781
17,80.9127041387
13,89.138497102
12,85.1388178309
19,88.9865137775
11,87.8037868805
17,81.8423511178
15,84.0029730449
14,84.8454631972
18,86.4170579369
16,89.1968823778
10,86.1774555045
17,85.1559107964
12,84.2856697503
12,82.951335547
11,80.4410936344
11,88.6860590113
14,89.8673321836
15,85.9431104407
16,83.4847273945
13,86.168612639
10,80.3349840649
11,81.0911055113
14,88.6102795392
19,89.8397592246
16,80.5293153571
14,89.2052429451
15,85.1447445954
12,87.145356191
11,81.0209313006
18,81.9322769516
19,82.008950414
11,84.7976327671
17,84.6182981109
18,60.38122044528856
16,85.4472911287
14,85.8505565949
16,85.0187906135
19,86.562814057
18,88.0718227941
18,89.4807712998
12,86.775049983
18,86.5679895978
11,82.2467215414
16,82.2251514623
17,84.9710342081
11,85.5525025209
16,82.8981586753
16,81.0678888294
15,80.4791666712
15,85.6598895003
11,84.6245517337
19,81.402652168
18,71.810786536889
11,82.5868581366
10,84.7568387447
14,87.6161369262
13,89.2787977208
13,88.9457107005
12,82.9013909626
13,86.9738484389
13,86.2563502692
18,88.1366372064
13,81.5897562721
12,87.6455446367
19,80.8136621992
14,52.0592151570515
12,87.6893202802
13,86.4272807275
13,84.8864576883
12,89.6747687037
16,85.3083292705
18,87.1953301407
17,84.3930025247
19,81.0456126895
13,84.5639237449
17,80.0961742512
17,88.7516403468
18,70.71180098963774
18,81.2891884565
15,88.2473173724
14,89.3381069999
18,83.4905919661
13,89.3363599753
15,86.6352773695
18,83.5160398305
10,80.53807806
18,88.1153843125
13,84.7047800177
16,81.3914302291
18,83.0973965147
10,83.1164182045
13,87.3361337887
15,82.953021288
18,82.381895786
19,83.5050848395
14,87.1973146124
18,83.0602960957
11,81.2446037863
19,87.8491368436
19,87.8043938211
15,89.0159048352
13,86.0558008194
16,84.0088311343
16,86.6855587818
13,80.7041236102
12,87.6001018338
16,85.8880276817
13,89.9374776965
12,87.5884865234
11,88.4467682082
15,87.0602641069
13,86.0675221404
19,89.8927401901
17,84.7983338918
13,81.373994358
16,83.9157968286
19,83.3745283381
12,88.0866449443
11,80.9655054094
17,85.1483200656
16,81.3133672387
17,82.2726903819
17,82.4939064496
18,89.2900031998
15,88.9952670542
16,81.7428991161
16,86.5588773207
12,87.3266571675
12,81.4531878149
13,80.9132443632
19,85.6815989158
18,82.6717796857
19,82.5092321328
15,88.5265669384
13,80.8478061514
13,88.3804349091
15,82.2402485049
16,88.0771128481
11,36.978725670166135
18,80.100468222
18,89.9836525884
18,81.8644005706
19,81.5496342537
17,81.4261801204
16,86.0228318993
16,85.5540075729
15,83.3121352941
10,88.4053769903
13,83.5643154329
13,80.0217638912
12,89.5665567154
14,86.5415813303
18,82.9998155893
11,89.3370431238
10,81.9039094651
13,86.4335199315
14,82.649740314
16,82.0818636122
15,88.7281056336
19,88.3430995682
15,88.1256847934
16,83.0129503583
14,89.8694327526
12,89.9665308326
12,85.5473906796
13,80.6118616071
11,84.5279118553
14,86.3376011173
18,81.5477016041
18,80.3655533688
11,87.5640111885
19,87.1540548181
11,81.311375655
19,84.2642652563
15,87.354593132
17,86.3740515378
12,89.3065934525
12,84.92066915366446
17,86.027486147
13,89.8426122477
14,83.1465800535
11,83.5956614127
12,81.1118823458
16,86.5031467613
18,89.3174779049
17,88.2860505706
16,88.6929527605
12,85.3154581256
13,86.259615967
17,86.2525581922
16,86.6651867339
14,87.3804461372
19,85.7054695658
16,80.9235164833
13,80.3196760149
18,83.6210638197
18,87.568629171
17,81.1911643335
13,87.1205654659
12,83.9638882405
17,89.4660998902
11,86.9045070068
19,89.9964747734
17,81.4623099849
18,88.893430773
16,88.6954377279
