delta,trans_satoshis
67,35.1774845827
97,37.6856938322
68,67.6360647381
56,32.5155216733
73,32.7806582083
73,38.4709210074
82,61.9485660277
76,52.2484062432
64,36.1481402655
58,30.899112655991495
82,36.3127074523
52,47.4386494322
65,60.1032330803
84,45.5353092488
93,64.6773224957
91,35.835360235033676
75,33.0218563067
71,39.25133264
95,64.7257107147
83,36.3861501642
60,31.8355555686
52,31.0692480963
60,46.1366079875
58,38.1993574483
88,34.9723073043
65,53.3554942912
66,58.4401843231
84,34.4090181827
94,39.32584727273071
70,30.6116599966
61,33.92994533904823
52,43.6663382582
68,32.597937849
87,67.0921455542
95,62.042475816
95,34.1752909163
58,41.0216419612
65,44.6533478394
57,31.500023566564018
57,48.8659051123
60,77.97273652372026
80,47.4663240963
69,43.7135206587
72,34.8355271486
62,53.3831886717
76,57.9655119125
71,35.3427050558
88,64.4215632609
79,59.3007964249
90,32.2489986302
62,51.15032151760879
98,31.1032030632
75,61.3962235409
57,69.26181300399378
78,41.5374806228
88,35.1322866471
50,30.3360378933
83,67.77434198316965
51,47.2084362882
92,44.674146609
95,63.6281215065
89,34.91706632659757
53,39.5243695391
59,43.0790098152
83,56.6349265814
75,30.0740978266
76,31.3211670683
55,44.160762397
66,61.9009762754
72,69.5716113108
77,58.6073407384
84,41.8355348778
71,17.244259010518732
76,35.6926693316
54,19.05965963718442
59,65.6875430337
66,54.1784031881
85,55.7840426015
55,57.2312287742
90,14.012799930521993
77,34.3483564325
76,65.998394424819
50,37.7567346238
52,42.865290395
50,49.8023380382
67,64.1546529745
50,60.7659584507351
72,46.7496341698
55,35.6186233102
83,68.8800723777
91,58.6384921851
53,30.6383240698
92,36.8211403232
76,58.5383185885
67,56.4639666655
60,39.4746712907
81,58.6590508799
52,53.2678141911
99,44.4102427031
63,51.6236623156
79,37.1107108437
64,64.16630696
72,42.5143899283
80,33.4781106847
55,38.1946780408
87,56.49891345
66,35.1692470543
66,31.4678847191
51,68.4820486735
69,45.9464764497841
81,45.4983315065
58,64.2206920494
91,30.1310359675
83,40.20398624273321
97,44.8589111356
69,55.7261839818
84,50.4790280667
9,148.69025176173665
9,42.7985603261
12,52.508002175
8,63.3001471547
8,48.578480683684475
9,37.6949960857
8,57.02669193015022
7,62.4250389207
8,59.144049270978456
11,40.9962813396
12,52.7904308905
5,33.719677010149454
5,42.5490727003
3,53.0435193799
10,47.75586756815511
11,37.6216631827
9,60.8841419888
10,49.5851280386
12,56.9226867487
6,49.8502098783
6,48.1546683949
6,55.0927245368824
3,44.4504394167
7,69.94463793552816
11,59.9115830977
4,52.1616815135
12,48.7271092225
8,27.70608934870798
3,37.0068694106
6,38.5881571599
8,40.7150782407
4,39.7291950319
9,73.75043048540903
6,50.3508106059
10,57.6972473286
4,32.01729837121379
12,62.7465415518
7,67.16404239255601
9,49.1624130333
7,68.51188582080405
9,63.0274016163
6,41.185338322
11,45.6253319884
6,35.42795537776435
4,50.2367663821
4,45.555365399167854
7,44.4286799729
7,58.096265877
9,60.6623525829
3,58.0152488373
5,67.40352222773166
7,55.3928934076
5,52.883785627242524
12,35.8101237144
3,64.5913994953
11,63.4471628728
9,35.8989773816
9,46.7802593833
12,65.16959409256653
10,36.2184129672
9,56.589371665005544
8,42.8119672246
3,26.624852657041785
10,37.4620065183
5,25.96689074385747
12,50.8411827219
10,51.5835571275
5,50.1984753702
12,53.46439609943177
3,54.1262251375
11,43.2573238195
10,51.60004200199801
4,35.3101324928
4,29.114896001704853
3,55.4477529095
11,47.85841603086033
12,64.5645895355
3,48.9127027521
3,56.727795066
9,70.89823882818163
12,57.5575353129
5,45.6651158654
6,38.6222623273
8,46.0923198013
11,56.2960084812
5,41.8890607905
11,27.59472798027895
6,58.2433164238
9,27.195993577077488
5,64.3722622411
4,25.81740384051383
6,55.6462354781
11,62.60094027451496
3,55.0591713555
5,41.92001449579686
12,47.1058639082
5,56.8235079174
4,53.5774619911
8,42.24061086659677
10,61.1049901084
4,36.6978423906
9,40.138331933
9,41.217517797243
11,47.0968473824
4,70.62589408991096
11,54.5947284766
8,56.94541852110557
12,36.2902865155
12,59.59280646661141
9,56.3400729496
11,45.3003734115
8,41.8261523547
10,70.6955293487805
7,35.4353008849
11,51.5767377178
9,71.2218397076671
3,59.9428751864
5,62.52160619032096
7,48.9010154752
3,47.77718053469199
11,59.2296928194
11,57.3833234842
8,41.2802679489
8,63.0197873642
6,56.59697377205092
8,50.8620196376
10,54.192054203501385
12,35.5209012269
4,66.91362481064978
5,63.2823114126
8,55.701095808012
6,57.7323331175
12,57.3092758427
7,45.13238678451695
3,52.7306201959
11,64.4032486014
8,59.26040059292855
3,58.1512334509
5,57.13157638293028
8,37.7753639306
9,45.1349006865651
3,41.7160154615
9,55.323860614
11,53.7076794044
3,37.0286987975
11,71.23597958277912
4,44.8275031864
8,34.90029924047492
8,40.5663645381
3,73.26934630445791
8,60.3171117886
12,35.0754782233
7,50.5804485059
8,54.1947064624
12,44.42794149005337
5,53.511682137
12,28.674762830463717
5,56.976575799
3,59.77308266795085
8,51.1586145962
5,33.43133942595314
4,48.5584861648
12,45.79500837714335
4,47.1273909381
3,38.1233090813
4,63.42521607462545
7,38.394252566
6,53.4507885873
7,49.463735996
6,55.10865193360121
6,57.9141750302
3,40.1100713145
6,43.18695327043048
3,44.9596651104
12,74.7685542560906
6,40.2256377287
3,59.87478618388125
3,42.1901232442
5,52.007526528952
4,40.573337244
12,36.3704090815
3,35.5703907034
9,64.4380058107
9,56.7648112921
12,61.2204824816
4,64.67148713906057
4,39.6989618088
9,63.00957533317011
12,48.7022625806
10,27.009473337880348
12,64.4659209758
3,36.84482677255822
6,39.0935996378
9,40.544187104463035
4,43.3452137921
11,50.6581546121
4,43.54663112741659
6,54.5277857773
9,68.41473592034292
6,51.9344719147
9,53.648103330013186
11,57.4550636588
12,43.4166797758
11,40.536628098111485
12,41.4034683656
7,41.4126110099
8,56.2794365429
10,55.83258064848049
10,49.6450153159
3,36.6893135107
3,29.951547858719312
8,35.2490093701
11,57.5673394098
11,39.8110598849
9,32.99423004083371
12,41.8124886554
9,36.8376001157
4,52.6283247203956
6,54.7416469537
5,36.5283906668
11,31.481824160439704
10,55.4622640106
12,52.869609221980085
3,37.8265346075
4,59.1681454917
5,56.5818048813
10,46.4242408692
12,45.468246798
12,71.13302033946454
7,45.4286494355
5,37.002861091703124
6,48.8124243371
4,48.32014332296522
4,37.7265995863
3,47.4738375597
5,52.218443785
9,50.229194634
4,50.8029494663
7,53.7028858249
7,38.7542725127
4,63.427125672175016
11,63.7365859876
11,49.0410851765
3,60.335061567
10,63.28543046
11,48.9821609528
10,66.36021672846044
7,43.5665927137
12,47.2784887202
5,55.6084548053
7,68.45046354157998
11,58.1730639966
11,51.40202203878151
9,44.4022644025
7,58.353974358
8,56.8211102936
8,48.5773641424
9,39.56364939474097
3,54.9442009852
12,40.7003418809
6,61.86808243646995
10,47.2952192625
5,59.18434810037561
8,57.6964117541
6,54.00223704284426
12,55.3104929921
7,54.63020705925928
4,44.3838123344
11,50.3308748451
6,68.76138212680718
8,50.5182543169
6,56.6327109622
12,48.2524571376
3,69.16811654994845
11,44.4034724356
7,69.59502927749331
5,36.6265015074
8,49.8946879086
8,25.198688610846805
5,48.1028573393
9,25.34581917301156
6,60.8146194084
11,42.4602867767
9,70.57893206358153
6,40.215821538
5,65.85347947126115
4,63.1075543226
11,44.5411869195
10,70.75278949406717
9,36.68302085
5,41.4877728566
11,59.3683220542
6,48.4913108512
11,31.69100765312428
8,59.5337561655
4,45.0066951332
5,64.47302663709891
3,55.32699546
4,36.8099697261
8,47.8413866436
11,42.140780779
6,44.808013721
3,69.75345241240703
3,45.0517316965
10,36.74991728911118
10,46.3321763564
7,61.6056579211
6,60.99861242428381
4,41.9379060219
3,59.8617316773
5,59.4518947121
11,51.6891256242
6,60.24713379655092
11,50.9097657467
7,67.562278536434
8,44.6783899924
3,71.85228554037043
11,64.9105518375
3,47.9620292118
9,70.71283647384378
8,57.5911257743
10,59.1722862546
8,35.32052213601882
7,41.0536925047
4,58.7466705094
11,34.83254808218893
8,40.9987405587
11,40.5109659116
12,47.5333472162
9,45.009831546367295
10,64.3183967363
8,30.17718770059219
3,45.9950844674
6,68.15688977977175
10,50.256004079
5,50.6518314835
10,40.0775496815
8,39.7677839318
8,61.6388042963
11,58.5603514063
12,50.8718309625
4,65.81041781457745
8,64.053176216
5,63.568020561
6,63.731837434459116
5,55.4488285328
11,56.7301950693
4,64.9172621367
7,36.8199171993
11,37.569072547
3,32.61495114155651
5,37.2748336413
4,49.4239999766
4,51.746797472515745
12,44.9971772616
12,65.59518515425678
3,50.27015499
12,31.569972745644577
9,39.8310042494
4,69.65873982213401
7,47.9473753811
10,60.82249165636159
10,51.9425966004
8,46.94486623765032
4,49.5841367751
12,59.4782786239
10,68.30984694009649
11,35.8018652855
9,57.9570882813
3,45.114330667873716
6,44.3581468522
7,63.2327150056
9,58.73593246967266
5,45.6151574175
8,57.4453477983
3,30.576326083083366
12,50.5282833364
11,62.3110570986
11,53.00862685286593
6,47.597956707
10,31.087107960387954
12,57.6183689353
6,53.1068617362
12,51.1850496935
12,74.83746096590077
10,46.8847922574
5,52.7040655432
7,64.3969607174
12,44.8997095113
9,70.92108241739163
5,40.5073798073
3,38.2548620953
4,51.873694166928715
7,62.0908883686
9,25.019756275489215
4,46.1420838353
9,49.9463474632
3,49.712705295
3,27.523302109091112
11,59.4529509524
10,35.71243287716432
10,40.9323592804
6,37.8836265079
