delta,trans_satoshis
80,13.667885991360524
67,31.2308408167
52,66.3921599668
52,47.8255607132
75,56.6669303228
58,44.223346954
74,60.1333837532
75,63.3977803651
71,40.2823331574
98,63.942819393
67,38.095927278
81,78.0692132587515
82,60.0987379766
81,61.635807988
83,20.89508066855185
64,34.7522824276
75,35.1989679286
87,60.85405094437097
96,39.7483518713
63,79.3499229811537
62,37.8373308126
67,32.445202628
73,67.6116591018
55,61.0929167187
89,34.690457671598544
52,49.5485632897
89,30.8722266588
95,52.4911670333
55,39.3891273396
51,48.5322093217
89,56.73210213697108
65,47.2551385898
95,62.8407105699
96,33.1211286826
98,62.1745644044
74,67.34095587326368
93,32.4091498112
60,37.6783721670866
67,31.2312302874
77,10.034329145302978
89,52.1808937923
86,63.0545515536
88,69.1255106408
61,15.046116188846188
51,68.3962874348
65,46.5629831032
52,68.0598435591
95,69.63371651495038
54,32.645791738
62,62.6033327075
99,40.4421765487
88,67.7744741096
96,39.1173505996
93,49.9979932086
63,55.4534964935
57,45.9725634484
79,46.5203098907
91,68.9379153025
97,38.5236831202
91,10.486340428325622
67,41.1719443754
56,47.1850787171
81,63.1534249983
69,61.0179137062
50,34.3201974847
80,74.66226117552237
69,60.1254397159
80,33.9773266471
62,50.956761733
66,11.630663791443752
73,65.351621054
93,58.7696080848
67,67.77256754263826
59,42.0595115536
53,39.6219603214
90,37.8249877245
83,41.805081237
99,42.8829602493
83,62.0344218325
84,42.154410425
73,50.3582910235
53,45.6494669282
64,36.9290911488
94,59.723823767
82,52.6848641438
66,50.0349825899
69,51.2770581922
55,56.7780439573
66,63.7310006506
70,48.0700001731
81,33.770275569
98,64.6833490232
83,11.517937432609111
54,50.0675392603
63,31.7693741745
82,39.3832436298
94,26.756355169326547
73,36.6315021837
87,33.4214133623
75,18.055200592532586
83,60.2800909141
77,59.3123243675
61,39.7596577438
84,66.478935815
54,49.2368162246
75,43.6002259203
93,42.80979075
79,31.4180710182
97,31.6503427278
57,44.8908896374
83,41.3255442879
57,37.9352124944
61,28.8865179983096
91,64.9962332203
74,42.3640237053
61,59.2204878886
68,64.0214307522
72,37.9220168516
63,42.6254610394
58,49.1550102632
5,110.33392938879192
7,62.9078571041883
4,36.2427275974
10,48.0171958389
3,59.5546205227
5,39.8588421978
7,38.74673166208016
3,37.9102080551
10,53.4388446881
11,48.808359803
10,41.8225324374
11,62.18688250971767
5,60.0013798491
8,35.8305973776
3,37.7880685237
4,47.90689602904842
5,48.6956195572
5,54.0207136491
8,53.116451548889145
4,37.7250827992
11,59.7483066159
5,51.38112109968233
7,35.3069006702
6,55.1816401203
5,55.66424141816141
11,50.9174338318
10,62.8774337517
7,67.73561237503935
9,38.4409108814
11,42.00228755480006
7,63.6976201315
9,39.3232883003
5,38.878044948216576
12,63.3690569851
8,69.16854045404374
12,57.3833348793
12,44.6167653535
8,49.086953749296995
9,52.4939818349
12,42.9568381299226
10,38.9159692226
7,60.2403799012
5,38.17010821152662
9,49.8565287153
